item_id,date,subtag_eng_desc
694A736E-8FD5-40A5-8301-AF5DBFA9EA64,20211225,03_wealth_view_ind
694A736E-8FD5-40A5-8301-AF5DBFA9EA64,20211225,03_investment_ind
694A736E-8FD5-40A5-8301-AF5DBFA9EA64,20211225,03_account
6E5FF976-F3EE-4806-BB8A-F1B6D1548801,20211225,03_account_only
6E5FF976-F3EE-4806-BB8A-F1B6D1548801,20211225,03_account
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_forex_digital_account
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_forex_cust_new
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_foreignrate_view_ind
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_foreign_view_ind
2BB32F91-39C5-4B5D-83A1-FDEACCDB3BE5,20211225,03_forex_cust_old
4DD9DC1B-50AB-4841-8F35-8CBD990E3EF7,20211225,03_account
4DD9DC1B-50AB-4841-8F35-8CBD990E3EF7,20211225,03_account_only
4DD9DC1B-50AB-4841-8F35-8CBD990E3EF7,20211225,03_credit_card_only
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_wealth_view_ind
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_no_fc_cust
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_investment_ind
3BD5FB6A-CD05-49D3-82B2-4A85572E1026,20211225,03_account
